mlg,cluster,color,type,source,hybrid,A,B,C,D,daysDiseased,daysLesion,propDiseased,propHealthy
2,4,#7fbf7b,COO,Jaap,Y,0.083659589,0.753268747,0.037922551,0.125149113,0.09280303,0.16287879,1,0
3,4,#7fbf7b,unk,unk,unk,0.091165131,0.013287286,0.090343421,0.805204162,0.37268519,0.37268519,0.66666667,0.33333333
4,4,#7fbf7b,COO,KWN,N,0.043209676,0.006036646,0.026892319,0.923861359,0.10227273,0.16287879,1,0
6,1,#762a83,unk,unk,unk,0.05760479,0.00979357,0.051062674,0.881538966,0.06965488,0.18539562,1,0
7,4,#7fbf7b,unk,unk,unk,0.061493698,0.010195884,0.0498675,0.878442917,0.13026094,0.14604377,1,0
10,1,#762a83,COO,KWN,N,0.059547545,0.01520419,0.055406401,0.869841864,0.09577922,0.45156926,1,0
11,4,#7fbf7b,unk,unk,unk,0.029650816,0.005086438,0.029994158,0.935268588,0.52777778,0.72222222,0.5,0.5
13,1,#762a83,unk,unk,unk,0.103478284,0.013739088,0.106235343,0.776547284,0.42824074,0.07638889,1,0
14,2,#af8dc3,unk,unk,unk,0.031837722,0.004794311,0.026638299,0.936729668,0.18181818,0.09090909,1,0
15,3,#d9f0d3,SR,H,N,0.062732688,0.015014562,0.110648746,0.811604004,0.12662338,0.73701299,1,0
17,3,#d9f0d3,SR,unk,N,0.020163566,0.003724409,0.021722572,0.954389452,1,1,0,1
18,1,#762a83,COO,KWN,N,0.045339628,0.00689331,0.053052048,0.894715014,0.15286797,0.28436147,1,0
19,5,#1b7837,SR,unk,N,0.030682511,0.006562578,0.062866275,0.899888636,1,1,0,1
20,3,#d9f0d3,SR,H,N,0.149628685,0.035203894,0.399522941,0.41564448,0.07142857,0.71428571,1,0
21,5,#1b7837,SR,H,N,0.062974014,0.011219916,0.110679688,0.815126382,1,1,0,1
22,3,#d9f0d3,SR,H,N,0.078021985,0.012957972,0.069291952,0.839728091,0.07142857,0.57142857,1,0
23,4,#7fbf7b,COO,KWN,N,0.073612626,0.012391119,0.197870468,0.716125787,1,1,0,1
24,5,#1b7837,SR,H,N,0.061268651,0.010072908,0.06366151,0.864996932,0.21753247,0.49350649,1,0
25,3,#d9f0d3,SR,H,Y,0.12054271,0.069656287,0.224270648,0.585530356,0.07142857,0.5,1,0
26,5,#1b7837,SR,H,Y,0.16059293,0.067186719,0.348991067,0.423229284,1,1,0,1
27,4,#7fbf7b,COO,KWN,N,0.016169976,0.002562259,0.01236356,0.968904205,0.3844697,0.66287879,0.66666667,0.33333333
28,4,#7fbf7b,unk,unk,unk,0.12450524,0.026583745,0.167475031,0.681435984,0.14285714,0.57142857,1,0
29,3,#d9f0d3,SR,H,N,0.196378223,0.048482596,0.224137489,0.531001692,0.07494589,0.38906926,1,0
30,4,#7fbf7b,SR,H,N,0.091203995,0.024503021,0.155953266,0.728339718,0.63636364,0.72727273,0.5,0.5
31,5,#1b7837,SR,H,N,0.118484624,0.037697386,0.172876834,0.670941157,0.16257816,0.31962482,1,0
32,3,#d9f0d3,SR,H,N,0.10894416,0.021354911,0.143391747,0.726309182,0.54545455,0.81818182,0.5,0.5
33,3,#d9f0d3,SR,H,N,0.101461521,0.022197706,0.123980238,0.752360536,1,1,0,1
34,1,#762a83,COO,KWN,N,0.061787856,0.009034183,0.109740667,0.819437294,0.1525974,0.25324675,1,0
35,3,#d9f0d3,SR,unk,N,0.08927161,0.016578909,0.123434986,0.770714495,0.09090909,0.36363636,1,0
36,3,#d9f0d3,unk,unk,unk,0.061604725,0.009149487,0.067631497,0.861614291,0.09090909,0.36363636,1,0
37,3,#d9f0d3,SR,H,Y,0.066793746,0.009115556,0.056834574,0.867256124,0.28625541,0.38365801,1,0
38,3,#d9f0d3,SR,H,Y,0.090178122,0.015045319,0.119275403,0.775501155,0.09090909,0.27272727,1,0
39,2,#af8dc3,unk,unk,unk,0.060215701,0.011062334,0.054170453,0.874551513,0.78125,0.53125,0.5,0.5
130,2,#af8dc3,unk,unk,unk,0.053808809,0.008051243,0.056326285,0.881813664,0.33667027,0.40512266,0.85714286,0.14285714
42,4,#7fbf7b,unk,unk,unk,0.115544468,0.014471293,0.100355382,0.769628856,0.6875,0.8125,0.33333333,0.66666667
43,2,#af8dc3,unk,unk,unk,0.090373856,0.011688424,0.048862601,0.849075118,0.4375,0.39583333,0.66666667,0.33333333
46,5,#1b7837,SR,H,Y,0.08234219,0.012897483,0.088033371,0.816726956,0.17207792,0.29545455,1,0
47,4,#7fbf7b,unk,unk,unk,0.146850691,0.577795152,0.198824558,0.076529598,0.1010101,0.37878788,1,0
48,3,#d9f0d3,SR,H,N,0.055882938,0.009541885,0.06010745,0.874467727,0.14285714,0.64285714,1,0
49,3,#d9f0d3,SR,H,N,0.111532899,0.026838501,0.158994726,0.702633874,0.59090909,0.77272727,0.5,0.5
50,4,#7fbf7b,COO,KWN,N,0.14752555,0.057789968,0.241090261,0.553594221,1,1,0,1
51,5,#1b7837,SR,unk,N,0.16657595,0.025368376,0.135404922,0.672650752,0.19805195,0.33116883,1,0
52,3,#d9f0d3,SR,H,Y,0.108304026,0.02359877,0.341358161,0.526739043,0.07142857,0.57142857,1,0
53,4,#7fbf7b,COO,KWN,N,0.050468529,0.016646463,0.045530448,0.88735456,1,1,0,1
54,4,#7fbf7b,COO,KWN,N,0.143181905,0.029127542,0.184071469,0.643619084,1,1,0,1
56,3,#d9f0d3,SR,H,N,0.101570359,0.020748704,0.125985794,0.751695143,0.5625,0.53125,0.5,0.5
58,4,#7fbf7b,COO,KWN,N,0.098576137,0.01269757,0.135600464,0.75312583,0.3844697,0.62121212,0.66666667,0.33333333
59,4,#7fbf7b,COO,KWN,N,0.065150318,0.007481685,0.078798979,0.848569018,0.14285714,0.64285714,1,0
60,4,#7fbf7b,SR,H,N,0.098649943,0.019870511,0.122248352,0.759231194,0.07142857,0.5,1,0
61,5,#1b7837,SR,H,N,0.046317747,0.007528632,0.051288805,0.894864816,0.12662338,0.48376623,1,0
62,4,#7fbf7b,unk,unk,unk,0.090038212,0.015634899,0.095239842,0.799087047,0.3844697,0.58901515,0.66666667,0.33333333
63,4,#7fbf7b,COO,KWN,N,0.077837603,0.009253148,0.053538862,0.859370386,0.09090909,0.63636364,1,0
64,2,#af8dc3,unk,unk,unk,0.057557752,0.010268099,0.044741705,0.887432445,1,1,0,1
67,4,#7fbf7b,COO,Wonderland2,Y,0.062724518,0.007039882,0.052534775,0.877700824,0.1875,0.0625,1,0
68,3,#d9f0d3,unk,unk,unk,0.088364192,0.010529269,0.116897326,0.784209214,0.22569444,0.14930556,1,0
69,3,#d9f0d3,unk,unk,unk,0.150103449,0.017364774,0.144102051,0.688429726,0.08680556,0.29861111,1,0
70,3,#d9f0d3,unk,unk,unk,0.135412521,0.026529823,0.179873657,0.658183999,0.05902778,0.14236111,1,0
71,1,#762a83,unk,unk,unk,0.07182664,0.010185603,0.074286916,0.84370084,0.625,0.53125,0.5,0.5
73,1,#762a83,unk,unk,unk,0.066101233,0.013480917,0.078942981,0.84147487,0.39351852,0.48611111,0.66666667,0.33333333
74,5,#1b7837,unk,unk,unk,0.097277521,0.016204262,0.113474361,0.773043856,0.05902778,0.23263889,1,0
76,3,#d9f0d3,unk,unk,unk,0.138425907,0.022280255,0.162088707,0.677205131,0.09090909,0.27272727,1,0
77,4,#7fbf7b,SR,H,N,0.064095205,0.009282855,0.055265708,0.871356233,0.0719697,0.23674242,1,0
135,4,#7fbf7b,unk,unk,unk,0.056104667,0.009291208,0.050518435,0.88408569,0.22706229,0.39330808,0.83333333,0.16666667
79,4,#7fbf7b,unk,unk,unk,0.067956754,0.01010984,0.077712922,0.844220484,0.18181818,0.54545455,1,0
80,4,#7fbf7b,COO,KWN,N,0.048868315,0.006614234,0.041297279,0.903220171,0.1344697,0.39015152,1,0
83,2,#af8dc3,unk,unk,unk,0.064015957,0.02278655,0.039649199,0.873548293,1,1,0,1
84,4,#7fbf7b,COO,KWN,N,0.056667217,0.010320735,0.110583705,0.822428344,1,1,0,1
85,5,#1b7837,SR,H,N,0.08405783,0.014770679,0.124263032,0.776908459,0.41477273,0.51704545,0.66666667,0.33333333
86,5,#1b7837,SR,H,N,0.076457289,0.013796562,0.150850226,0.758895923,0.18181818,0.18181818,1,0
137,4,#7fbf7b,unk,unk,unk,0.057828245,0.008835933,0.063849835,0.869485987,0.4006734,0.55218855,0.66666667,0.33333333
12,4,#7fbf7b,unk,unk,unk,0.057071694,0.008040638,0.05460068,0.880286988,0.09406566,0.21275253,1,0
89,3,#d9f0d3,SR,H,N,0.074284534,0.010402089,0.194061182,0.721252195,0.08116883,0.41558442,1,0
90,4,#7fbf7b,unk,unk,unk,0.054191564,0.007955935,0.049689385,0.888163116,0.43560606,0.70075758,0.66666667,0.33333333
92,3,#d9f0d3,SR,H,Y,0.057044609,0.010083272,0.156799164,0.776072956,0.09090909,0.36363636,1,0
93,5,#1b7837,unk,unk,unk,0.078215819,0.013838861,0.106128534,0.801816787,0.74074074,0.72222222,0.33333333,0.66666667
94,3,#d9f0d3,SR,H,N,0.094473692,0.01275684,0.11326839,0.779501078,0.18181818,0.54545455,1,0
95,5,#1b7837,SR,H,N,0.07942582,0.01733319,0.20775035,0.69549064,0.09090909,0.54545455,1,0
96,5,#1b7837,SR,H,N,0.117935654,0.032453978,0.093468038,0.756142331,0.14285714,0.21428571,1,0
97,5,#1b7837,SR,H,N,0.081343917,0.011301938,0.123063464,0.784290681,0.14285714,0.21428571,1,0
98,5,#1b7837,SR,H,N,0.098776154,0.015757267,0.105798794,0.779667785,0.14285714,0.21428571,1,0
99,4,#7fbf7b,SR,H,N,0.19787519,0.032270443,0.247476348,0.522378019,0.14285714,0.21428571,1,0
100,3,#d9f0d3,SR,H,N,0.060086443,0.009990292,0.06544836,0.864474904,0.10524892,0.21834416,1,0
101,3,#d9f0d3,SR,H,N,0.068425846,0.017315435,0.079638063,0.834620656,0.08116883,0.40584416,1,0
102,1,#762a83,SR,H,Y,0.035367318,0.005706164,0.035180668,0.92374585,0.07142857,0.35714286,1,0
103,5,#1b7837,SR,H,Y,0.045782882,0.007046622,0.041924609,0.905245887,0.21428571,0.21428571,1,0
104,3,#d9f0d3,SR,H,N,0.066995917,0.011036481,0.08935862,0.832608982,0.07142857,0.21428571,1,0
105,5,#1b7837,unk,unk,unk,0.173647278,0.023015986,0.165415283,0.637921454,0.18181818,0.09090909,1,0
106,3,#d9f0d3,unk,unk,unk,0.003467499,0.001148047,0.003324163,0.992060291,0.1043771,0.2020202,1,0
107,2,#af8dc3,unk,unk,unk,0.004237414,0.001219287,0.003717416,0.990825882,0.28977273,0.12215909,1,0
108,4,#7fbf7b,unk,unk,unk,0.034726205,0.004581245,0.026859566,0.933832984,0.09995791,0.35942761,1,0
109,1,#762a83,unk,unk,unk,0.106953515,0.015456406,0.119574378,0.758015701,0.0625,0.4375,1,0
110,5,#1b7837,unk,unk,unk,0.004355206,0.001229004,0.003495704,0.990920086,0.05902778,0.17708333,1,0
111,1,#762a83,unk,unk,unk,0.00516139,0.001356941,0.004799239,0.98868243,0.05787037,0.25462963,1,0
112,1,#762a83,SR,H,N,0.057973349,0.007846351,0.141442085,0.792738215,0.06965488,0.42003367,1,0
113,3,#d9f0d3,SR,H,N,0.006783937,0.001610236,0.006416829,0.985188998,0.07670455,0.40056818,1,0
114,1,#762a83,SR,H,N,0.044034812,0.006086292,0.050594683,0.899284214,0.45887446,0.50865801,0.66666667,0.33333333
116,5,#1b7837,unk,unk,unk,0.006240271,0.00139228,0.006703614,0.985663835,0.42592593,0.59259259,0.66666667,0.33333333
117,1,#762a83,unk,unk,unk,0.005606992,0.001286746,0.004256778,0.988849485,0.46296296,0.53703704,0.66666667,0.33333333
118,4,#7fbf7b,COO,Birthday,Y,0.012208029,0.626590681,0.010038494,0.351162796,0.43560606,0.42613636,0.66666667,0.33333333
119,3,#d9f0d3,SR,H,N,0.003666582,0.000990102,0.003568641,0.991774675,0.53125,0.625,0.5,0.5
120,5,#1b7837,unk,unk,unk,0.063302006,0.009798872,0.06971432,0.857184803,0.09280303,0.26515152,1,0
121,1,#762a83,COO,KWN,N,0.006137699,0.001193899,0.005644268,0.987024134,0.14042208,0.25027056,1,0
122,3,#d9f0d3,SR,H,N,0.008942635,0.001441874,0.010597018,0.979018474,0.16720779,0.22646104,1,0
123,3,#d9f0d3,unk,unk,unk,0.00730284,0.00123098,0.00746609,0.984000091,0.37268519,0.45138889,0.66666667,0.33333333
124,4,#7fbf7b,COO,KWN,N,0.006158701,0.001108297,0.005212051,0.987520951,0.19805195,0.11688312,1,0
125,3,#d9f0d3,SR,H,N,0.006990932,0.00127662,0.022033906,0.969698541,0.0625,0.125,1,0
126,4,#7fbf7b,COO,Wonderland2,Y,0.003888192,0.001238644,0.009582439,0.985290725,0.18181818,0.27272727,1,0
127,2,#af8dc3,unk,unk,unk,0.003859732,0.000947336,0.003355609,0.991837324,0.53030303,0.47306397,0.66666667,0.33333333
132,5,#1b7837,SR,H,N,0.003946338,0.001005369,0.003373273,0.99167502,0.18181818,0.09090909,1,0
133,4,#7fbf7b,unk,unk,unk,0.006655274,0.001357782,0.005939628,0.986047316,0.16203704,0.11574074,1,0
134,4,#7fbf7b,COO,Jaap,Y,0.007544274,0.064654031,0.004824564,0.92297713,0.07670455,0.41477273,1,0
136,1,#762a83,unk,unk,unk,0.052991773,0.006612613,0.066427294,0.873968321,0.5625,0.53125,0.5,0.5
138,4,#7fbf7b,SR,H,N,0.113962431,0.014677711,0.09731391,0.774045949,0.0625,0.1875,1,0
139,2,#af8dc3,unk,unk,unk,0.096881641,0.01126364,0.054662547,0.837192173,0.37037037,0.61111111,0.66666667,0.33333333
142,4,#7fbf7b,SR,H,Y,0.019662317,0.003825124,0.026789392,0.949723167,0.71428571,0.85714286,0.33333333,0.66666667
143,5,#1b7837,SR,unk,N,0.032541264,0.006747338,0.038646968,0.922064431,0.07142857,0.64285714,1,0
145,3,#d9f0d3,SR,H,Y,0.104897701,0.031444359,0.160520198,0.703137742,0.14285714,0.21428571,1,0
146,4,#7fbf7b,SR,H,N,0.139846183,0.057707197,0.23168046,0.57076616,0.07142857,0.64285714,1,0
147,4,#7fbf7b,SR,H,N,0.176302005,0.047100397,0.120278636,0.656318962,0.28571429,0.21428571,1,0
148,3,#d9f0d3,SR,H,N,0.111177486,0.018955485,0.327674897,0.542192132,0.07142857,0.42857143,1,0
149,5,#1b7837,SR,H,N,0.009844496,0.001594142,0.006563787,0.981997575,1,1,0,1
150,4,#7fbf7b,SR,H,N,0.129973993,0.029061142,0.196826837,0.644138027,0.07142857,0.78571429,1,0
151,4,#7fbf7b,COO,KWN,N,0.05384978,0.017252805,0.064750437,0.864146979,0.28571429,0.07142857,1,0
152,4,#7fbf7b,COO,KWN,Y,0.003520121,0.000800492,0.0023199,0.993359486,0.34117965,0.1642316,1,0
153,4,#7fbf7b,unk,unk,N,0.11196035,0.020200755,0.143632795,0.724206101,0.37268519,0.49768519,0.66666667,0.33333333
155,4,#7fbf7b,COO,KWN,N,0.003707256,0.000902114,0.00298099,0.992409639,0.25892857,0.16964286,1,0
156,5,#1b7837,SR,unk,N,0.006706591,0.001665617,0.005857691,0.985770101,0.07142857,0.57142857,1,0
158,5,#1b7837,SR,H,N,0.006453805,0.00166374,0.007836278,0.984046178,0.125,0.375,1,0
159,5,#1b7837,SR,H,N,0.004896774,0.001172471,0.006087535,0.98784322,1,1,0,1
57,4,#7fbf7b,COO,KWN,N,0.004363571,0.001081669,0.005570187,0.988984573,0.07142857,0.57142857,1,0
154,1,#762a83,unk,unk,unk,0.00680055,0.001569926,0.01195689,0.979672634,0.18052631,0.3164975,0.97297297,0.02702703
72,4,#7fbf7b,SR,H,N,0.004789371,0.001269878,0.009800942,0.984139809,0.27395125,0.42616213,0.85714286,0.14285714
164,3,#d9f0d3,unk,unk,unk,0.108027404,0.015089206,0.14186327,0.73502012,0.05902778,0.28819444,1,0
66,4,#7fbf7b,unk,unk,unk,0.00544799,0.001247526,0.014902524,0.97840196,0.09722222,0.21990741,1,0
167,2,#af8dc3,unk,unk,unk,0.005078441,0.001032583,0.004095999,0.989792977,0.21212121,0.36868687,1,0
168,1,#762a83,unk,unk,unk,0.005028094,0.001068636,0.003984063,0.989919207,0.25231481,0.13425926,1,0
169,1,#762a83,SR,H,N,0.067352707,0.014426729,0.07785973,0.840360834,0.14285714,0.28571429,1,0
170,5,#1b7837,SR,H,N,0.004584534,0.001113896,0.003422334,0.990879236,0.09090909,0.5,1,0
171,1,#762a83,SR,unk,N,0.134391121,0.023580585,0.15731282,0.684715474,0.21428571,0.14285714,1,0
173,4,#7fbf7b,unk,unk,unk,0.088924609,0.022450758,0.066457093,0.82216754,0.3125,0.125,1,0
174,4,#7fbf7b,unk,unk,unk,0.004435064,0.000928423,0.002822513,0.991814,0.05902778,0.12152778,1,0
175,5,#1b7837,unk,unk,unk,0.00701856,0.001370887,0.007077319,0.984533235,0.12037037,0.17592593,1,0
91,4,#7fbf7b,unk,unk,unk,0.102412534,0.015997453,0.071306709,0.810283304,0.37268519,0.48611111,0.66666667,0.33333333