"","V1","V2","V3","V4","V5","cluster"
"1",0.0657251,0.104112,0.107704,0.615623,0.106836,4
"2",0.0470946,0.0732748,0.0490145,0.765414,0.0652017,4
"3",0.0352026,0.0463372,0.018722,0.875584,0.0241539,4
"4",0.973946,0.00194636,0.00648018,0.0171431,0.000483878,1
"5",0.0517662,0.0609371,0.0222614,0.817314,0.0477212,4
"6",0.9996,9.997e-05,9.997e-05,9.997e-05,9.997e-05,1
"7",9.9973e-05,9.9973e-05,0.390062,0.609639,9.9973e-05,4
"8",0.996126,0.0005945,9.9982e-05,0.00307911,9.9982e-05,1
"9",0.00741266,0.992287,9.9973e-05,9.9973e-05,9.9973e-05,2
"10",0.00679083,0.0117899,0.811747,0.135631,0.0340411,3
"11",9.9982e-05,0.00627045,0.929188,9.9982e-05,0.0643418,3
"12",0.9996,9.997e-05,9.997e-05,9.997e-05,9.997e-05,1
"13",0.00865075,0.0350451,0.0402219,0.245771,0.670311,5
"14",9.999e-05,0.0133121,0.625572,0.310492,0.0505235,3
"15",0.00179319,9.9991e-05,0.200059,0.301403,0.496645,5
"16",9.99729e-05,0.00466978,0.99503,9.99729e-05,9.99729e-05,3
"17",0.0436336,0.0884708,0.0442461,0.707225,0.116424,4
"18",9.997e-05,9.997e-05,9.997e-05,9.997e-05,0.9996,5
"19",0.00187396,9.9982e-05,0.954001,9.9982e-05,0.043925,3
"20",0.000270656,0.0254467,0.0739958,0.188741,0.711546,5
"21",0.0488278,0.0455178,0.0198029,0.861076,0.0247759,4
"22",0.0503538,0.0693742,0.0449569,0.738259,0.097056,4
"23",9.999e-05,0.0192096,0.475812,0.397901,0.106977,3
"24",0.0111979,0.0334077,9.9991e-05,0.508201,0.447093,4
"25",9.9991e-05,0.000790956,0.00336589,0.049934,0.945809,5
"26",0.028142,0.0423728,0.365636,0.259927,0.303922,3
"27",0.00397521,0.0049084,0.951677,0.0175687,0.0218704,3
"28",0.811336,0.0131924,9.9991e-05,0.158176,0.0171958,1
"29",0.00161779,0.00978173,0.837081,0.0968478,0.0546718,3
"30",0.00834521,0.0040388,0.98206,0.00545572,9.9991e-05,3
"31",0.0149577,0.00830035,0.886117,9.9991e-05,0.090525,3
"32",9.9973e-05,9.9973e-05,0.918193,9.9973e-05,0.0815072,3
"33",9.997e-05,0.9996,9.997e-05,9.997e-05,9.997e-05,2
"34",9.997e-05,0.9996,9.997e-05,9.997e-05,9.997e-05,2
"35",0.038629,0.0715294,0.0203253,0.772877,0.096639,4
"36",9.9982e-05,0.76691,9.9982e-05,0.222221,0.010669,2
"37",9.9982e-05,9.9982e-05,0.245421,0.359026,0.395353,5
"38",0.0713173,0.113052,0.0834753,0.610036,0.12212,4
"39",9.9973e-05,9.9973e-05,0.815578,9.9973e-05,0.184122,3
"40",9.9982e-05,9.9982e-05,0.948454,0.045251,0.00609536,3
"41",0.022209,0.0784188,9.9991e-05,0.797465,0.101808,4
"42",9.9991e-05,0.0143817,0.0830537,0.131879,0.770586,5
"43",9.9991e-05,0.0182193,0.777318,0.171163,0.0332,3
"44",9.9982e-05,9.9982e-05,0.151518,0.471891,0.376391,4
"45",0.0615049,0.0785739,0.0406177,0.714062,0.105242,4
"46",9.99878e-05,9.99878e-05,0.931704,0.0207809,0.0473152,3
"47",0.00161685,0.0695353,9.9991e-05,0.856847,0.0719012,4
"48",0.0026853,0.0511712,9.9991e-05,0.902245,0.0437988,4
"49",9.9982e-05,9.9982e-05,0.172789,0.45039,0.376621,4
"50",9.9982e-05,9.9982e-05,0.223917,0.321497,0.454386,5
"51",0.0727357,0.0725597,0.0786972,0.675784,0.100224,4
"52",9.99729e-05,0.01863,9.99729e-05,0.98107,9.99729e-05,4
"53",9.9982e-05,0.844445,9.9982e-05,0.150137,0.00521795,2
"54",0.0711718,0.104649,0.0743915,0.613432,0.136355,4
"55",9.9982e-05,0.00307646,0.977994,9.9982e-05,0.0187294,3
"56",0.00775928,9.9982e-05,0.948236,9.9982e-05,0.0438048,3
"57",0.00183254,9.9991e-05,0.949691,0.0335647,0.0148116,3
"58",0.928945,0.00503739,9.9991e-05,0.0601202,0.00579713,1
"59",0.944612,0.00364795,9.9991e-05,0.044436,0.00720358,1
"60",0.00714935,0.0156877,0.0521149,0.0595814,0.865467,5
"61",9.9973e-05,9.9973e-05,0.971043,9.9973e-05,0.0286575,3
"62",9.9982e-05,9.9982e-05,0.194266,0.409276,0.396258,4
"63",0.0460148,0.0740472,0.0473219,0.768252,0.064364,4
"64",0.0717533,0.0974474,0.0708706,0.635748,0.12418,4
"65",0.0423066,0.071138,0.0244075,0.764059,0.0980891,4
"66",9.9982e-05,0.679636,9.9982e-05,0.302129,0.018035,2
"67",0.0511435,0.0841235,0.0368558,0.715588,0.112289,4
"68",0.0174706,0.00859442,9.9991e-05,0.454097,0.519738,5
"69",9.9982e-05,9.9982e-05,0.223017,0.29266,0.484123,5
"70",0.0631728,0.0891065,0.0602046,0.669302,0.118214,4
"71",0.0383645,0.0615675,0.0197951,0.832039,0.0482334,4
"72",9.9991e-05,0.0219019,0.734602,0.180633,0.0627635,3
"73",0.0272094,0.0469924,0.00439106,0.891292,0.0301154,4
"74",0.00217989,0.00976029,0.707537,0.136103,0.14442,3
"75",0.0098225,0.00806797,9.9991e-05,0.474291,0.507719,5
"76",9.9973e-05,9.9973e-05,0.985491,9.9973e-05,0.0142088,3
"77",9.9982e-05,9.9982e-05,0.208678,0.370392,0.42073,5
"78",9.997e-05,9.997e-05,9.997e-05,9.997e-05,0.9996,5
"79",0.00367351,0.0157533,0.0917599,0.0309965,0.857817,5
"80",0.00418143,0.0167728,0.0602454,9.9991e-05,0.9187,5
"81",0.017514,0.0691629,9.9991e-05,0.84103,0.0721926,4
"82",0.0244487,0.0563287,0.325329,0.287612,0.306281,3
"83",9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,3
"84",0.9996,9.997e-05,9.997e-05,9.997e-05,9.997e-05,1
"85",0.0178884,0.0317341,9.9991e-05,0.39585,0.554427,5
"86",9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,3
"87",9.9991e-05,0.0315616,0.0413583,0.352772,0.574209,5
"88",0.000692035,9.9991e-05,0.91659,0.0112854,0.0713327,3
"89",9.997e-05,0.9996,9.997e-05,9.997e-05,9.997e-05,2
"90",0.049016,0.0609444,0.020916,0.82165,0.0474736,4
"91",0.9996,9.997e-05,9.997e-05,9.997e-05,9.997e-05,1
"92",9.99729e-05,9.99729e-05,0.0113509,9.99729e-05,0.988349,5
"93",0.98565,0.00144526,9.9982e-05,0.0127045,9.9982e-05,1
"94",0.9996,9.997e-05,9.997e-05,9.997e-05,9.997e-05,1
"95",0.00232446,9.9991e-05,0.967103,0.00729147,0.0231808,3
"96",0.974679,0.00606811,9.9982e-05,0.0190525,9.9982e-05,1
"97",9.9982e-05,0.00374567,0.076809,9.9982e-05,0.919245,5
"98",0.9996,9.997e-05,9.997e-05,9.997e-05,9.997e-05,1
"99",0.0723787,0.106068,0.0700528,0.625353,0.126147,4
"100",9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05,3
"101",9.99729e-05,9.99729e-05,0.000398771,9.99729e-05,0.999301,5
"102",0.912868,0.00643426,0.0110285,0.0615832,0.00808594,1
"103",0.000841029,9.9991e-05,0.96361,0.000338226,0.0351112,3
"104",9.9991e-05,0.00715344,0.948334,0.0272038,0.0172088,3
"105",0.0758986,0.0975672,0.0860817,0.625352,0.115101,4
"106",0.0065591,0.00791764,0.970476,0.0100775,0.00497012,3
"107",0.0659836,0.103383,0.0720278,0.640733,0.117872,4
"108",9.997e-05,0.9996,9.997e-05,9.997e-05,9.997e-05,2
"109",9.9982e-05,9.9982e-05,0.346641,0.243205,0.409954,5
"110",9.9973e-05,9.9973e-05,0.383172,0.616528,9.9973e-05,4
"111",0.0760953,0.0993465,0.0988956,0.601293,0.12437,4
"112",0.935434,0.00482048,9.9991e-05,0.0541332,0.00551245,1
"113",0.0380776,0.0688258,0.0063348,0.792322,0.0944401,4
"114",0.00760379,0.718,9.9991e-05,0.256881,0.0174146,2
"115",0.00502462,0.00161791,0.427539,0.565719,9.9991e-05,4
"116",0.00259438,9.9982e-05,0.0556008,9.9982e-05,0.941605,5
"117",9.9991e-05,0.00811127,0.802597,0.166228,0.0229636,3
"118",0.0263846,0.0746035,0.00616067,0.774967,0.117885,4
"119",9.9991e-05,0.0419804,0.0116327,0.533466,0.412821,4
"120",9.9991e-05,0.0157305,0.787288,0.166095,0.0307872,3
"121",0.00387033,0.0235899,0.013416,0.0125414,0.946582,5
"122",0.0630522,0.0771335,0.0323303,0.723333,0.104151,4
"123",9.9973e-05,9.9973e-05,0.298287,0.701413,9.9973e-05,4
"124",9.997e-05,9.997e-05,9.997e-05,0.9996,9.997e-05,4
"125",0.0673496,0.0799215,0.0640458,0.687923,0.10076,4
"126",9.9973e-05,0.00074656,9.9973e-05,0.998954,9.9973e-05,4
"127",9.99729e-05,9.99729e-05,0.027046,9.99729e-05,0.972654,5
"128",0.014235,9.9982e-05,9.9982e-05,0.415268,0.570297,5
"129",9.99731e-05,9.99731e-05,0.445123,9.99731e-05,0.554577,5
"130",0.0768307,0.0781162,0.0758232,0.665747,0.103483,4
"131",0.9996,9.997e-05,9.997e-05,9.997e-05,9.997e-05,1
"132",9.9973e-05,9.9973e-05,0.395329,0.604371,9.9973e-05,4
"133",9.9982e-05,0.00177787,0.979783,9.9982e-05,0.0182396,3
"134",9.997e-05,9.997e-05,9.997e-05,0.9996,9.997e-05,4
"135",9.997e-05,0.9996,9.997e-05,9.997e-05,9.997e-05,2
"136",0.9996,9.997e-05,9.997e-05,9.997e-05,9.997e-05,1
"137",0.996424,9.9973e-05,0.00327621,9.9973e-05,9.9973e-05,1
"138",9.9982e-05,9.9982e-05,0.199508,0.365542,0.43475,5
"139",0.9996,9.997e-05,9.997e-05,9.997e-05,9.997e-05,1
"140",9.9991e-05,0.0237568,0.0645764,0.656184,0.255383,4
"141",9.9973e-05,0.000550204,9.9973e-05,0.99915,9.9973e-05,4
"142",0.00786131,0.012757,0.0785023,9.9991e-05,0.900779,5
"143",9.9991e-05,0.00101779,0.143855,0.523017,0.33201,4
