mlg,type,source,hybrid,A,B,C,D,domSym,K,daysDiseased,daysLesion,propDiseased,propHealthy,Rgroup,Rgroup2reps,Rgroup3reps,Rgroup5clusters,color,color2
90,unk,unk,unk,0.054191564,0.007955935,0.049689385,0.888163116,Durusdinium,2,0.43560606,0.70075758,0.66666667,0.33333333,Intermediate,Intermediate,Intermediate,Intermediate,#c9daf8,#c9daf8
92,SR,H,Y,0.057044609,0.010083272,0.156799164,0.776072956,Durusdinium,1,0.09090909,0.36363636,1,0,Susceptible,NA,NA,Susceptible,#fff2cc,#fff2cc
93,unk,unk,unk,0.078215819,0.013838861,0.106128534,0.801816787,Durusdinium,4,0.74074074,0.72222222,0.33333333,0.66666667,Intermediate,Resistant,Resistant,Resistant,#c9daf8,#b7e1cd
94,SR,H,N,0.094473692,0.01275684,0.11326839,0.779501078,Durusdinium,1,0.18181818,0.54545455,1,0,Susceptible,NA,NA,Susceptible,#fff2cc,#fff2cc
95,SR,H,N,0.07942582,0.01733319,0.20775035,0.69549064,Durusdinium,4,0.09090909,0.54545455,1,0,Susceptible,NA,NA,Susceptible,#fff2cc,#fff2cc
96,SR,H,N,0.117935654,0.032453978,0.093468038,0.756142331,Durusdinium,4,0.14285714,0.21428571,1,0,Highly Susceptible,NA,NA,Highly Susceptible,#f9cb9c,#f9cb9c
97,SR,H,N,0.081343917,0.011301938,0.123063464,0.784290681,Durusdinium,4,0.14285714,0.21428571,1,0,Highly Susceptible,NA,NA,Highly Susceptible,#f9cb9c,#f9cb9c
98,SR,H,N,0.098776154,0.015757267,0.105798794,0.779667785,Durusdinium,4,0.14285714,0.21428571,1,0,Highly Susceptible,NA,NA,Highly Susceptible,#f9cb9c,#f9cb9c
99,SR,H,N,0.19787519,0.032270443,0.247476348,0.522378019,Durusdinium,2,0.14285714,0.21428571,1,0,Highly Susceptible,NA,NA,Highly Susceptible,#f9cb9c,#f9cb9c
100,SR,H,N,0.060086443,0.009990292,0.06544836,0.864474904,Durusdinium,1,0.10524892,0.21834416,1,0,Highly Susceptible,Highly Susceptible,Highly Susceptible,Highly Susceptible,#f9cb9c,#f9cb9c
101,SR,H,N,0.068425846,0.017315435,0.079638063,0.834620656,Durusdinium,1,0.08116883,0.40584416,1,0,Susceptible,Susceptible,NA,Susceptible,#fff2cc,#fff2cc
102,SR,H,Y,0.035367318,0.005706164,0.035180668,0.92374585,Durusdinium,5,0.07142857,0.35714286,1,0,Susceptible,NA,NA,Susceptible,#fff2cc,#fff2cc
103,SR,H,Y,0.045782882,0.007046622,0.041924609,0.905245887,Durusdinium,4,0.21428571,0.21428571,1,0,Highly Susceptible,NA,NA,Highly Susceptible,#f9cb9c,#f9cb9c
104,SR,H,N,0.066995917,0.011036481,0.08935862,0.832608982,Durusdinium,1,0.07142857,0.21428571,1,0,Highly Susceptible,NA,NA,Highly Susceptible,#f9cb9c,#f9cb9c
105,unk,unk,unk,0.173647278,0.023015986,0.165415283,0.637921454,Durusdinium,4,0.18181818,0.09090909,1,0,Highly Susceptible,NA,NA,Highly Susceptible,#f9cb9c,#f9cb9c
106,unk,unk,unk,0.003467499,0.001148047,0.003324163,0.992060291,Durusdinium,1,0.1043771,0.2020202,1,0,Highly Susceptible,Highly Susceptible,Highly Susceptible,Highly Susceptible,#f9cb9c,#f9cb9c
107,unk,unk,unk,0.004237414,0.001219287,0.003717416,0.990825882,Durusdinium,3,0.28977273,0.12215909,1,0,Highly Susceptible,Highly Susceptible,NA,Highly Susceptible,#f9cb9c,#f9cb9c
108,unk,unk,unk,0.034726205,0.004581245,0.026859566,0.933832984,Durusdinium,2,0.09995791,0.35942761,1,0,Susceptible,Susceptible,Highly Susceptible,Susceptible,#fff2cc,#fff2cc
109,unk,unk,unk,0.106953515,0.015456406,0.119574378,0.758015701,Durusdinium,5,0.0625,0.4375,1,0,Susceptible,NA,NA,Susceptible,#fff2cc,#fff2cc
110,unk,unk,unk,0.004355206,0.001229004,0.003495704,0.990920086,Durusdinium,4,0.05902778,0.17708333,1,0,Highly Susceptible,Highly Susceptible,NA,Highly Susceptible,#f9cb9c,#f9cb9c
111,unk,unk,unk,0.00516139,0.001356941,0.004799239,0.98868243,Durusdinium,5,0.05787037,0.25462963,1,0,Highly Susceptible,Highly Susceptible,Highly Susceptible,Highly Susceptible,#f9cb9c,#f9cb9c
112,SR,H,N,0.057973349,0.007846351,0.141442085,0.792738215,Durusdinium,5,0.06965488,0.42003367,1,0,Susceptible,Susceptible,Highly Susceptible,Susceptible,#fff2cc,#fff2cc
113,SR,H,N,0.006783937,0.001610236,0.006416829,0.985188998,Durusdinium,1,0.07670455,0.40056818,1,0,Susceptible,Susceptible,NA,Susceptible,#fff2cc,#fff2cc
114,SR,H,N,0.044034812,0.006086292,0.050594683,0.899284214,Durusdinium,5,0.45887446,0.50865801,0.66666667,0.33333333,Intermediate,Intermediate,Intermediate,Intermediate,#c9daf8,#c9daf8
115,unk,unk,unk,0.035770503,0.013128954,0.116707052,0.834393491,Durusdinium,,0.12878788,0.29292929,1,0,Highly Susceptible,Susceptible,NA,Highly Susceptible,#f9cb9c,#f9cb9c
116,unk,unk,unk,0.006240271,0.00139228,0.006703614,0.985663835,Durusdinium,4,0.42592593,0.59259259,0.66666667,0.33333333,Intermediate,Intermediate,Intermediate,Intermediate,#c9daf8,#c9daf8
117,unk,unk,unk,0.005606992,0.001286746,0.004256778,0.988849485,Durusdinium,5,0.46296296,0.53703704,0.66666667,0.33333333,Intermediate,Intermediate,Intermediate,Intermediate,#c9daf8,#c9daf8
118,COO,Birthday,Y,0.012208029,0.626590681,0.010038494,0.351162796,Breviolum,2,0.43560606,0.42613636,0.66666667,0.33333333,Intermediate,Intermediate,Intermediate,Intermediate,#c9daf8,#c9daf8
119,SR,H,N,0.003666582,0.000990102,0.003568641,0.991774675,Durusdinium,1,0.53125,0.625,0.5,0.5,Intermediate,Resistant,NA,Resistant,#c9daf8,#b7e1cd
120,unk,unk,unk,0.063302006,0.009798872,0.06971432,0.857184803,Durusdinium,4,0.09280303,0.26515152,1,0,Highly Susceptible,Highly Susceptible,Highly Susceptible,Highly Susceptible,#f9cb9c,#f9cb9c
121,COO,KWN,N,0.006137699,0.001193899,0.005644268,0.987024134,Durusdinium,5,0.14042208,0.25027056,1,0,Highly Susceptible,Susceptible,Highly Susceptible,Highly Susceptible,#f9cb9c,#f9cb9c
122,SR,H,N,0.008942635,0.001441874,0.010597018,0.979018474,Durusdinium,1,0.16720779,0.22646104,1,0,Highly Susceptible,Susceptible,Highly Susceptible,Highly Susceptible,#f9cb9c,#f9cb9c
123,unk,unk,unk,0.00730284,0.00123098,0.00746609,0.984000091,Durusdinium,1,0.37268519,0.45138889,0.66666667,0.33333333,Intermediate,Intermediate,Intermediate,Intermediate,#c9daf8,#c9daf8
124,COO,KWN,N,0.006158701,0.001108297,0.005212051,0.987520951,Durusdinium,2,0.19805195,0.11688312,1,0,Highly Susceptible,Highly Susceptible,NA,Highly Susceptible,#f9cb9c,#f9cb9c
125,SR,H,N,0.006990932,0.00127662,0.022033906,0.969698541,Durusdinium,1,0.0625,0.125,1,0,Highly Susceptible,NA,NA,Highly Susceptible,#f9cb9c,#f9cb9c
126,COO,Wonderland2,Y,0.003888192,0.001238644,0.009582439,0.985290725,Durusdinium,2,0.18181818,0.27272727,1,0,Highly Susceptible,NA,NA,Highly Susceptible,#f9cb9c,#f9cb9c
127,unk,unk,unk,0.003859732,0.000947336,0.003355609,0.991837324,Durusdinium,3,0.53030303,0.47306397,0.66666667,0.33333333,Intermediate,Intermediate,Intermediate,Intermediate,#c9daf8,#c9daf8
132,SR,H,N,0.003946338,0.001005369,0.003373273,0.99167502,Durusdinium,4,0.18181818,0.09090909,1,0,Highly Susceptible,NA,NA,Highly Susceptible,#f9cb9c,#f9cb9c
133,unk,unk,unk,0.006655274,0.001357782,0.005939628,0.986047316,Durusdinium,2,0.16203704,0.11574074,1,0,Highly Susceptible,Highly Susceptible,Highly Susceptible,Highly Susceptible,#f9cb9c,#f9cb9c
134,COO,Jaap,Y,0.007544274,0.064654031,0.004824564,0.92297713,Durusdinium,2,0.07670455,0.41477273,1,0,Susceptible,Susceptible,NA,Susceptible,#fff2cc,#fff2cc
136,unk,unk,unk,0.052991773,0.006612613,0.066427294,0.873968321,Durusdinium,5,0.5625,0.53125,0.5,0.5,Intermediate,Resistant,NA,Resistant,#c9daf8,#b7e1cd
138,SR,H,N,0.113962431,0.014677711,0.09731391,0.774045949,Durusdinium,2,0.0625,0.1875,1,0,Highly Susceptible,NA,NA,Highly Susceptible,#f9cb9c,#f9cb9c
139,unk,unk,unk,0.096881641,0.01126364,0.054662547,0.837192173,Durusdinium,3,0.37037037,0.61111111,0.66666667,0.33333333,Intermediate,Intermediate,Intermediate,Intermediate,#c9daf8,#c9daf8
142,SR,H,Y,0.019662317,0.003825124,0.026789392,0.949723167,Durusdinium,2,0.71428571,0.85714286,0.33333333,0.66666667,Intermediate,Resistant,Resistant,Resistant,#c9daf8,#b7e1cd
143,SR,unk,N,0.032541264,0.006747338,0.038646968,0.922064431,Durusdinium,4,0.07142857,0.64285714,1,0,Susceptible,NA,NA,Susceptible,#fff2cc,#fff2cc
145,SR,H,Y,0.104897701,0.031444359,0.160520198,0.703137742,Durusdinium,1,0.14285714,0.21428571,1,0,Highly Susceptible,NA,NA,Highly Susceptible,#f9cb9c,#f9cb9c
146,SR,H,N,0.139846183,0.057707197,0.23168046,0.57076616,Durusdinium,2,0.07142857,0.64285714,1,0,Susceptible,NA,NA,Susceptible,#fff2cc,#fff2cc
147,SR,H,N,0.176302005,0.047100397,0.120278636,0.656318962,Durusdinium,2,0.28571429,0.21428571,1,0,Highly Susceptible,NA,NA,Highly Susceptible,#f9cb9c,#f9cb9c
148,SR,H,N,0.111177486,0.018955485,0.327674897,0.542192132,Durusdinium,1,0.07142857,0.42857143,1,0,Susceptible,NA,NA,Susceptible,#fff2cc,#fff2cc
149,SR,H,N,0.009844496,0.001594142,0.006563787,0.981997575,Durusdinium,4,1,1,0,1,Resistant,NA,NA,1/1 Resistant,#b7e1cd,#b7e1cd
150,SR,H,N,0.129973993,0.029061142,0.196826837,0.644138027,Durusdinium,2,0.07142857,0.78571429,1,0,Susceptible,NA,NA,Susceptible,#fff2cc,#fff2cc
151,COO,KWN,N,0.05384978,0.017252805,0.064750437,0.864146979,Durusdinium,2,0.28571429,0.07142857,1,0,Highly Susceptible,NA,NA,Highly Susceptible,#f9cb9c,#f9cb9c
152,COO,KWN,Y,0.003520121,0.000800492,0.0023199,0.993359486,Durusdinium,2,0.34117965,0.1642316,1,0,Highly Susceptible,Highly Susceptible,Highly Susceptible,Highly Susceptible,#f9cb9c,#f9cb9c
153,unk,unk,N,0.11196035,0.020200755,0.143632795,0.724206101,Durusdinium,2,0.37268519,0.49768519,0.66666667,0.33333333,Intermediate,Intermediate,Intermediate,Intermediate,#c9daf8,#c9daf8
155,COO,KWN,N,0.003707256,0.000902114,0.00298099,0.992409639,Durusdinium,2,0.25892857,0.16964286,1,0,Highly Susceptible,Highly Susceptible,NA,Highly Susceptible,#f9cb9c,#f9cb9c
156,SR,unk,N,0.006706591,0.001665617,0.005857691,0.985770101,Durusdinium,4,0.07142857,0.57142857,1,0,Susceptible,NA,NA,Susceptible,#fff2cc,#fff2cc
158,SR,H,N,0.006453805,0.00166374,0.007836278,0.984046178,Durusdinium,4,0.125,0.375,1,0,Susceptible,NA,NA,Susceptible,#fff2cc,#fff2cc
159,SR,H,N,0.004896774,0.001172471,0.006087535,0.98784322,Durusdinium,4,1,1,0,1,Resistant,NA,NA,1/1 Resistant,#b7e1cd,#b7e1cd
57,COO,KWN,N,0.004363571,0.001081669,0.005570187,0.988984573,Durusdinium,2,0.07142857,0.57142857,1,0,Susceptible,NA,NA,Susceptible,#fff2cc,#fff2cc
154,unk,unk,unk,0.00680055,0.001569926,0.01195689,0.979672634,Durusdinium,5,0.18052631,0.3164975,0.97297297,0.02702703,Highly Susceptible,Susceptible,Highly Susceptible,Highly Susceptible,#f9cb9c,#f9cb9c
72,SR,H,N,0.004789371,0.001269878,0.009800942,0.984139809,Durusdinium,2,0.27395125,0.42616213,0.85714286,0.14285714,Susceptible,Susceptible,Susceptible,Susceptible,#fff2cc,#fff2cc
164,unk,unk,unk,0.108027404,0.015089206,0.14186327,0.73502012,Durusdinium,1,0.05902778,0.28819444,1,0,Highly Susceptible,Highly Susceptible,NA,Highly Susceptible,#f9cb9c,#f9cb9c
66,unk,unk,unk,0.00544799,0.001247526,0.014902524,0.97840196,Durusdinium,2,0.09722222,0.21990741,1,0,Highly Susceptible,Highly Susceptible,Highly Susceptible,Highly Susceptible,#f9cb9c,#f9cb9c
167,unk,unk,unk,0.005078441,0.001032583,0.004095999,0.989792977,Durusdinium,3,0.21212121,0.36868687,1,0,Susceptible,Susceptible,NA,Susceptible,#fff2cc,#fff2cc
168,unk,unk,unk,0.005028094,0.001068636,0.003984063,0.989919207,Durusdinium,5,0.25231481,0.13425926,1,0,Highly Susceptible,Highly Susceptible,Highly Susceptible,Highly Susceptible,#f9cb9c,#f9cb9c
169,SR,H,N,0.067352707,0.014426729,0.07785973,0.840360834,Durusdinium,5,0.14285714,0.28571429,1,0,Highly Susceptible,NA,NA,Highly Susceptible,#f9cb9c,#f9cb9c
170,SR,H,N,0.004584534,0.001113896,0.003422334,0.990879236,Durusdinium,4,0.09090909,0.5,1,0,Susceptible,Susceptible,NA,Susceptible,#fff2cc,#fff2cc
171,SR,unk,N,0.134391121,0.023580585,0.15731282,0.684715474,Durusdinium,5,0.21428571,0.14285714,1,0,Highly Susceptible,NA,NA,Highly Susceptible,#f9cb9c,#f9cb9c
173,unk,unk,unk,0.088924609,0.022450758,0.066457093,0.82216754,Durusdinium,2,0.3125,0.125,1,0,Highly Susceptible,NA,NA,Highly Susceptible,#f9cb9c,#f9cb9c
174,unk,unk,unk,0.004435064,0.000928423,0.002822513,0.991814,Durusdinium,2,0.05902778,0.12152778,1,0,Highly Susceptible,Highly Susceptible,NA,Highly Susceptible,#f9cb9c,#f9cb9c
175,unk,unk,unk,0.00701856,0.001370887,0.007077319,0.984533235,Durusdinium,4,0.12037037,0.17592593,1,0,Highly Susceptible,Highly Susceptible,Highly Susceptible,Highly Susceptible,#f9cb9c,#f9cb9c
91,unk,unk,unk,0.102412534,0.015997453,0.071306709,0.810283304,Durusdinium,2,0.37268519,0.48611111,0.66666667,0.33333333,Intermediate,Intermediate,Intermediate,Intermediate,#c9daf8,#c9daf8