Sample,Seq,PutGeno,GenoRep,Reps
201,2brad,unk1,unk1,no
202,2brad,unk2,unk2,no
203,2brad,unk3,unk3,no
204,2brad,unk4,unk4,no
205,2brad,unk5,unk5,no
206,2brad,unk6,unk6,no
207,2brad,unk7,unk7,no
208,2brad,unk8,unk8,no
209,2brad,unk9,unk9,no
210_2,2brad,unk10,unk10_rad_2,yes
210_3,2brad,unk10,unk10_rad_3,yes
210,2brad,unk10,unk10_rad_1,yes
211,2brad,unk11,unk11,no
212,2brad,unk12,unk12,no
213,2brad,unk13,unk13,no
214,2brad,unk14,unk14,no
215,2brad,unk15,unk15,no
216,2brad,unk16,unk16,no
217,2brad,unk17,unk17,no
218,2brad,unk18,unk18,no
219,2brad,unk19,unk19,no
220,2brad,unk20,unk20,no
221,2brad,unk21,unk21,no
222,2brad,unk22,unk22,no
223,2brad,unk23,unk23,no
224,2brad,unk24,unk24,no
225,2brad,unk25,unk25,no
226_2,2brad,unk26,unk26_rad_2,yes
226_3,2brad,unk26,unk26_rad_3,yes
226,2brad,unk26,unk26_rad_1,yes
227,2brad,unk27,unk27,no
228,2brad,unk28,unk28,no
229,2brad,unk29,unk29,no
230,2brad,unk30,unk30,no
231,2brad,unk31,unk31,no
232,2brad,unk32,unk32,no
234,2brad,unk34,unk34,no
235,2brad,unk35,unk35,no
236,2brad,unk36,unk36,no
237,2brad,unk37,unk37,no
238,2brad,unk38,unk38,no
239,2brad,unk39,unk39,no
240,2brad,unk40,unk40,no
241,2brad,unk41,unk41,no
243,2brad,unk43,unk43,no
244,2brad,unk44,unk44,no
245,2brad,unk45,unk45,no
246,2brad,unk46,unk46,no
247,2brad,unk47,unk47,no
248,2brad,unk48,unk48,no
249,2brad,unk49,unk49,no
250,2brad,unk50,unk50,no
251,2brad,unk51,unk51,no
252,2brad,unk52,unk52,no
253,2brad,unk53,unk53,no
254,2brad,unk54,unk54,no
255,2brad,unk55,unk55,no
256,2brad,unk56,unk56,no
257,2brad,unk57,unk57,no
258,2brad,unk58,unk58,no
259,2brad,unk59,unk59,no
260,2brad,unk60,unk60,no
261,2brad,unk61,unk61,no
262,2brad,unk62,unk62,no
263,2brad,unk63,unk63,no
264,2brad,unk64,unk64,no
265,2brad,unk65,unk65,no
266,2brad,unk66,unk66,no
267,2brad,unk67,unk67,no
268,2brad,unk68,unk68,no
269,2brad,unk69,unk69,no
270,2brad,unk70,unk70,no
271,2brad,unk71,unk71,no
272,2brad,unk72,unk72,no
273,2brad,unk73,unk73,no
274,2brad,unk74,unk74,no
275,2brad,unk75,unk75,no
276,2brad,unk76,unk76,no
277,2brad,unk77,unk77,no
278,2brad,unk78,unk78,no
279,2brad,unk79,unk79,no
280,2brad,unk80,unk80,no
282,2brad,unk82,unk82,no
283,2brad,unk83,unk83,no
284,2brad,unk84,unk84,no
285,2brad,unk85,unk85,no
286,2brad,unk86,unk86,no
287,2brad,unk87,unk87,no
288,2brad,unk88,unk88,no
289,2brad,unk89,unk89,no
290,2brad,unk90,unk90,no
291,2brad,unk91,unk91,no
292,2brad,unk92,unk92,no
293,2brad,unk93,unk93,no
294,2brad,unk94,unk94,no
295,2brad,1-OF-3,1-OF-3,no
319,2brad,1-OF-2,1-OF-2_rad,yes
320,2brad,1-OF-5,1-OF-5,no
321,2brad,OF12,OF12,no
322,2brad,OF201,OF201_rad,yes
323,2brad,OF209,OF209,no
324,2brad,OF27,OF27,no
325,2brad,OF276,OF276,no
326,2brad,OF286,OF286,no
327,2brad,OF326,OF326,no
328,2brad,OF345,OF345,no
329,2brad,OF357,OF357,no
330,2brad,OF384,OF384,no
331,2brad,OF393,OF393_rad,yes
332,2brad,OF420,OF420,no
334,2brad,OF431,OF431,no
335,2brad,OF441,OF441,no
336,2brad,OF443,OF443_rad,yes
337,2brad,OF445,OF445,no
338,2brad,OF448,OF448,no
339,2brad,OF457,OF457_rad,yes
340,2brad,OF471,OF471,no
341,2brad,OF473,OF473,no
342,2brad,OF483,OF483_rad,yes
343,2brad,OF509,OF509_rad,yes
344,2brad,OF512,OF512_rad,yes
345,2brad,OF523,OF523,no
346,2brad,OF549,OF549,no
347,2brad,OF560,OF560,no
348,2brad,OF581,OF581,no
349,2brad,OF590,OF590,no
350,2brad,OF591,OF591,no
351,2brad,OF611,OF611,no
352,2brad,OF622,OF622,no
353,2brad,OF629,OF629,no
354,2brad,OF653,OF653,no
355,2brad,OF654,OF654_rad,yes
356,2brad,OF657,OF657_rad,yes
357,2brad,OF656,OF656_rad,yes
359,2brad,OF662,OF662_rad,yes
361,2brad,OF671,OF671,no
362,2brad,OF679,OF679_rad,yes
363,2brad,OF681,OF681,no
365,2brad,OF687,OF687_rad,yes
366,2brad,OF690,OF690,no
367,2brad,OF692,OF692,no
368,2brad,OF693,OF693_rad,yes
369,2brad,OF695,OF695,no
371,2brad,OF698,OF698,no
372,2brad,OF700,OF700_rad,yes
373,2brad,OF702,OF702,no
374,2brad,OF704,OF704_rad_1,yes
375_2,2brad,OF706,OF706_rad_2,yes
375_3,2brad,OF706,OF706_rad_3,yes
375,2brad,OF706,OF706_rad_1,yes
376_2,2brad,OF727,OF727_rad_2,yes
376_3,2brad,OF727,OF727_rad_3,yes
376,2brad,OF727,OF727_rad_1,yes
377,2brad,OF729,OF729,no
378,2brad,OF782,OF782,no
379,2brad,OF668,OF668,no
380,2brad,OF670,OF670,no
381,2brad,OF672,OF672,no
382,2brad,OF675,OF675,no
383,2brad,OF676,OF676,no
384,2brad,OF677,OF677_rad,yes
385,2brad,OF678,OF678,no
387,2brad,OF688,OF688,no
388,2brad,OF689,OF689_rad_1,yes
389,2brad,OF691,OF691,no
390,2brad,OF694,OF694,no
391,2brad,OF697,OF697,no
P106,2brad,OF682,OF682_rad,yes
P117,2brad,mis5,mis5,no
P1D12,2brad,OF419,OF419,no
P1D7,2brad,mis4,mis4,no
P1E1,2brad,M22,M22_rad,yes
P1E2,2brad,OF704,OF704_rad_2,yes
P1G3,2brad,M1,M1,no
P201,2brad,F12,F12_rad,yes
P23A,2brad,OF689,OF689_rad_2,yes
P29B,2brad,M2-AE23,M2-AE23_wgs_2,yes
P2A8,2brad,mis6,mis6,no
P2H5,2brad,mis3,mis3,no
P62,2brad,mis1,mis1,no
P67,2brad,mis2,mis2,no
P89,2brad,GB7,GB7_wgs_2,yes
sperm_2,2brad,sperm,sperm_rad_2,yes
sperm_3,2brad,sperm,sperm_rad_3,yes
sperm,2brad,sperm,sperm_rad_1,yes