"","Sample","Symbiodinium","Breviolum","Cladocopium","Durusdinium"
"1","s001",0.170537037244386,0.0379815103029489,0.245917822739267,0.545563629713398
"2","s002",0.0836595887812452,0.753268747139968,0.0379225513241213,0.125149112754665
"3","s003",0.0911651309227861,0.0132872858269944,0.0903434211113923,0.805204162138827
"4","s004",0.0432096759635346,0.00603664590667028,0.0268923188013359,0.923861359328459
"5","s005",0.0853720026891761,0.0129478847638256,0.0882448146211499,0.813435297925848
"6","s006",0.0576047900837649,0.00979357046637784,0.0510626738099706,0.881538965639887
"7","s007",0.0614936982919506,0.010195884418886,0.0498675000367375,0.878442917252426
"8","s008",0.0517207042498641,0.00918797399880508,0.0561899960348716,0.882901325716459
"9","s009",0.125513243700185,0.0140246356976089,0.111939457370582,0.748522663231624
"10","s010",0.0595475451843001,0.0152041900895648,0.0554064007792837,0.869841863946851
"11","s011",0.029650816208529,0.00508643759286406,0.0299941582100039,0.935268587988603
"12","s012",0.0336280389206303,0.00584488749551444,0.0279116267187262,0.932615446865129
"13","s013",0.103478284308252,0.0137390882451472,0.106235343496459,0.776547283950142
"14","s014",0.0318377220465442,0.00479431094530988,0.0266382991125424,0.936729667895604
"15","s015",0.0627326880119136,0.0150145621459608,0.110648745958887,0.811604003883239
"16","s016",0.0612242811815119,0.00852523633508881,0.0449445552975042,0.885305927185895
"17","s017",0.0201635662563638,0.00372440911287722,0.0217225724371344,0.954389452193624
"18","s018",0.0453396281518014,0.00689331008490056,0.0530520480337045,0.894715013729594
"19","s019",0.0306825110730456,0.00656257780202841,0.0628662751780409,0.899888635946885
"20","s020",0.149628684551752,0.0352038941317598,0.399522941123446,0.415644480193042
"21","s021",0.0629740138540202,0.011219916139802,0.110679688218825,0.815126381787353
"22","s022",0.0780219852814882,0.0129579716463858,0.0692919523828398,0.839728090689286
"23","s023",0.0736126262986715,0.0123911189051226,0.197870467606706,0.7161257871895
"24","s024",0.061268650564669,0.0100729077936233,0.0636615099973438,0.864996931644364
"25","s025",0.120542709914477,0.0696562869956919,0.224270647587328,0.585530355502503
"26","s026",0.160592929914848,0.0671867194851361,0.348991066553595,0.423229284046421
"27","s027",0.0161699760530225,0.00256225874946577,0.0123635598911871,0.968904205306325
"28","s028",0.124505239843317,0.0265837452062099,0.167475031274994,0.681435983675478
"29","s029",0.196378223201928,0.0484825959911827,0.224137489106475,0.531001691700415
"30","s030",0.0912039948920274,0.0245030209464997,0.155953265862352,0.728339718299121
"31","s031",0.118484623680716,0.0376973860568921,0.172876833594125,0.670941156668267
"32","s032",0.108944159977622,0.021354911117858,0.143391746633872,0.726309182270648
"33","s033",0.101461521147964,0.0221977056959106,0.123980237547921,0.752360535608205
"34","s034",0.0617878564206896,0.0090341828918069,0.109740666538478,0.819437294149025
"35","s035",0.089271610355419,0.0165789088781629,0.123434986105017,0.770714494661401
"36","s036",0.0616047248434656,0.00914948717773511,0.0676314968305921,0.861614291148207
"37","s037",0.0667937456531259,0.00911555601349785,0.0568345740707349,0.867256124262641
"38","s038",0.0901781222554763,0.0150453192813718,0.119275403098594,0.775501155364558
"39","s039",0.0602157005789274,0.011062333883677,0.0541704529456184,0.874551512591777
"40","s040",0.0517186836927588,0.00850082944330851,0.0669245013695459,0.872855985494387
"41","s041",0.0538088086465773,0.00805124271138339,0.0563262851195171,0.881813663522522
"42","s042",0.115544467980444,0.0144712933310578,0.100355382437683,0.769628856250816
"43","s043",0.0903738560957627,0.0116884243396799,0.0488626013791907,0.849075118185367
"44","s044",0.0902867640649829,0.0119311819882398,0.0729045840680671,0.82487746987871
"45","s045",0.104575113577461,0.0155959386529256,0.318321797725402,0.561507150044211
"46","s046",0.0823421904888165,0.0128974830022159,0.0880333705801026,0.816726955928865
"47","s047",0.146850691085461,0.577795152462862,0.198824558381151,0.0765295980705265
"48","s048",0.055882938178256,0.00954188541778274,0.0601074495278037,0.874467726876157
"49","s049",0.111532899493854,0.026838501127132,0.158994725872996,0.702633873506018
"50","s050",0.147525550154342,0.0577899682263803,0.2410902606161,0.553594221003177
"51","s051",0.166575949613157,0.0253683760351464,0.135404922048132,0.672650752303565
"52","s052",0.108304026005652,0.0235987699417251,0.3413581610289,0.526739043023723
"53","s053",0.0504685287800922,0.0166464628790103,0.0455304482717139,0.887354560069184
"54","s054",0.143181904580878,0.0291275422923399,0.184071469302414,0.643619083824368
"55","s055",0.061245466492051,0.0125619588811674,0.0725383812587204,0.853654193368061
"56","s056",0.101570358994049,0.0207487041658668,0.125985793818391,0.751695143021693
"57","s057",0.113048558630877,0.0206384868592925,0.135420773385139,0.730892181124691
"58","s058",0.098576136856623,0.0126975699143351,0.135600463613466,0.753125829615576
"59","s059",0.0651503176581451,0.00748168526005411,0.0787989786302702,0.848569018451531
"60","s060",0.0986499433847226,0.0198705106988358,0.12224835235026,0.759231193566182
"61","s061",0.046317746993838,0.00752863199083236,0.0512888054375455,0.894864815577784
"62","s062",0.0900382119730849,0.0156348989349996,0.0952398418171027,0.799087047274813
"63","s063",0.0778376031263569,0.00925314806773773,0.053538862353452,0.859370386452453
"64","s064",0.057557751833826,0.0102680985604756,0.04474170506836,0.887432444537338
"65","s065",0.122943188295649,0.0159034771043131,0.114796693900817,0.746356640699221
"66","s066",0.0504338756993645,0.00596482755431795,0.0514151694658371,0.892186127280481
"67","s067",0.0627245179906562,0.00703988246457103,0.0525347750715814,0.877700824473191
"68","s068",0.0883641917586185,0.0105292687488311,0.116897325603142,0.784209213889408
"69","s069",0.150103448748339,0.0173647744451904,0.144102051162599,0.688429725643871
"70","s070",0.135412521089892,0.0265298229289866,0.179873656833125,0.658183999147996
"71","s071",0.0718266404887626,0.0101856029657452,0.0742869163323293,0.843700840213163
"72","s072",0.0477471090551784,0.00806450254867918,0.0762515639813619,0.86793682441478
"73","s073",0.0661012333190678,0.0134809166245185,0.0789429805303439,0.84147486952607
"74","s074",0.0972775207145163,0.0162042620140484,0.113474361495675,0.77304385577576
"75","s075",0.121232214277569,0.0166992571068981,0.133784109098434,0.728284419517098
"76","s076",0.13842590677861,0.0222802550028655,0.162088707437977,0.677205130780547
"77","s077",0.0640952050161783,0.0092828546880427,0.0552657075480321,0.871356232747747
"78","s078",0.0561046668747265,0.00929120761289715,0.0505184350879518,0.884085690424425
"79","s079",0.0679567542699408,0.0101098395537409,0.07771292196216,0.844220484214158
"80","s080",0.0488683147994489,0.00661423449962482,0.0412972792707667,0.90322017143016
"81","s081",0.0412205177625494,0.00621600140061447,0.0374912267926393,0.915072254044197
"82","s082",0.111824400745704,0.017624667514294,0.134530931896007,0.736019999843995
"83","s083",0.0640159573469033,0.0227865504508351,0.0396491988144683,0.873548293387793
"84","s084",0.0566672168124553,0.0103207349947736,0.110583704681741,0.82242834351103
"85","s085",0.0840578297821986,0.0147706786020061,0.124263032235161,0.776908459380634
"86","s086",0.0764572893055389,0.0137965615625742,0.15085022593519,0.758895923196697
"87","s087",0.0578282451162361,0.00883593255534458,0.0638498353707536,0.869485986957666
"88","s088",0.0570716944163813,0.00804063835277344,0.0546006796384009,0.880286987592444
"89","s089",0.0742845335261907,0.010402088870939,0.194061182128131,0.721252195474739
"90","s090",0.0541915638922607,0.00795593498443015,0.0496893854548787,0.88816311566843
"91","s091",0.125443063251959,0.0144525984723678,0.0791710348959113,0.780933303379761
"92","s092",0.0570446089822389,0.0100832717337592,0.156799163607108,0.776072955676894
"93","s093",0.0782158186738339,0.0138388611671054,0.10612853360945,0.801816786549611
"94","s094",0.0944736916789647,0.0127568395958679,0.113268390282665,0.779501078442502
"95","s095",0.0794258201286335,0.0173331896087097,0.20775035032877,0.695490639933887
"96","s096",0.117935653850066,0.032453977924902,0.0934680376022511,0.756142330622781
"97","s097",0.0813439168537807,0.0113019382260838,0.123063463574717,0.784290681345419
"98","s098",0.0987761539690145,0.0157572672097109,0.105798794122345,0.77966778469893
"99","s099",0.197875190192214,0.0322704427031156,0.247476348163772,0.522378018940898
"100","s100",0.0600864434525562,0.00999029235653466,0.0654483602158226,0.864474903975087
"101","s101",0.0684258463214702,0.017315435099039,0.0796380629729569,0.834620655606534
"102","s102",0.0353673183580345,0.00570616386266254,0.0351806681382278,0.923745849641075
"103","s103",0.0457828821675806,0.00704662183956529,0.0419246085899313,0.905245887402923
"104","s104",0.0669959172922429,0.0110364809693138,0.0893586197813776,0.832608981957066
"105","s105",0.173647277755521,0.0230159858363164,0.165415282821364,0.637921453586798
"106","s106",0.00346749872093379,0.00114804656209999,0.00332416332164382,0.992060291395322
"107","s107",0.00423741404300796,0.00121928740432296,0.00371741642013995,0.990825882132529
"108","s108",0.0347262052048544,0.00458124450229205,0.0268595661906158,0.933832984102238
"109","s109",0.106953514536827,0.0154564061261007,0.119574377986557,0.758015701350515
"110","s110",0.00435520562250038,0.00122900402883111,0.0034957041683125,0.990920086180356
"111","s111",0.00516138976667308,0.00135694119191963,0.00479923948440724,0.988682429557
"112","s112",0.0579733490213656,0.00784635066487375,0.141442085014194,0.792738215299567
"113","s113",0.00678393723175483,0.00161023583080647,0.00641682937582667,0.985188997561612
"114","s114",0.0440348120634194,0.00608629169651618,0.0505946826720285,0.899284213568036
"115","s115",0.0357705027437155,0.0131289537542868,0.116707052248519,0.834393491253479
"116","s116",0.00624027103538923,0.00139228040851633,0.00670361403033208,0.985663834525762
"117","s117",0.00560699184841606,0.00128674564193792,0.00425677772918568,0.98884948478046
"118","s118",0.0122080294080248,0.626590680522963,0.0100384939947056,0.351162796074306
"119","s119",0.00366658231865934,0.000990101540594279,0.00356864103742008,0.991774675103326
"120","s120",0.0633020058076604,0.00979887181094995,0.0697143198393562,0.857184802542033
"121","s121",0.00613769870699316,0.00119389868597278,0.00564426842101042,0.987024134186024
"122","s122",0.0089426345468637,0.00144187373755225,0.0105970176274991,0.979018474088085
"123","s123",0.00730283972323945,0.00123098002570951,0.00746608966148993,0.984000090589561
"124","s124",0.00615870093879985,0.00110829730979831,0.00521205106532133,0.98752095068608
"125","s125",0.0069909321251265,0.00127662039349857,0.0220339064508157,0.969698541030559
"126","s126",0.00388819194255758,0.00123864368211814,0.00958243934360791,0.985290725031716
"127","s127",0.00385973181549889,0.000947335545665375,0.00335560892931822,0.991837323709517
"128","s128",0.0662209125129135,0.0241051602458806,0.0956062507174155,0.814067676523791
"129","s129",0.078526214380083,0.0369925467253761,0.127774990655924,0.756706248238617
"130","s130",0.0045563592170407,0.00108415605844487,0.00372073184316169,0.990638752881353
"131","s131",0.00623501473819297,0.00140841170308963,0.00559965396040597,0.986756919598311
"132","s132",0.00394633821591249,0.00100536948455653,0.00337327260040044,0.991675019699131
"133","s133",0.00665527390446066,0.00135778221530108,0.00593962811397806,0.98604731576626
"134","s134",0.00754427395071941,0.0646540314948639,0.00482456435696389,0.922977130197453
"135","s135",0.00598576670500814,0.00140259200000999,0.00576449384105644,0.986847147453925
"136","s136",0.0529917725281886,0.00661261303362385,0.0664272937095799,0.873968320728608
"137","s137",0.00606090397820357,0.00125566406674956,0.0056007678069072,0.98708266414814
"138","s138",0.11396243057374,0.0146777105527915,0.0973139100593999,0.774045948814069
"139","s139",0.0968816405282438,0.011263639563534,0.0546625470947893,0.837192172813433
"140","s140",0.0196982778058445,0.00348477827673401,0.0189819767947229,0.957834967122699
"141","s141",0.0146284262197818,0.00241633502930163,0.0220285571955513,0.960926681555365
"142","s142",0.0196623169356713,0.00382512384622289,0.0267893919516247,0.949723167266481
"143","s143",0.0325412637890757,0.00674733766605771,0.0386469678355687,0.922064430709298
"144","s144",0.121320718654434,0.0204152331804281,0.118782253440367,0.739481794724771
"145","s145",0.104897700855637,0.0314443592458709,0.16052019814754,0.703137741750952
"146","s146",0.139846182963129,0.0577071970544209,0.231680459730562,0.570766160251888
"147","s147",0.176302004692327,0.0471003972217705,0.120278635972961,0.656318962112941
"148","s148",0.111177485729457,0.0189554847559627,0.327674897119342,0.542192132395239
"149","s149",0.00984449614301457,0.001594141647938,0.00656378738984979,0.981997574819198
"150","s150",0.129973993332519,0.0290611418497897,0.196826837484509,0.644138027333182
"151","s151",0.0538497798442304,0.0172528049390803,0.0647504365619275,0.864146978654762
"152","s152",0.00352012095179616,0.000800492467316677,0.00231990020130145,0.993359486379586
"153","s153",0.111960350276351,0.0202007545698812,0.143632794553732,0.724206100600036
"154","s154",0.00660945133857766,0.00129763128740964,0.00525453498473727,0.986838382389275
"155","s155",0.00370725641833503,0.000902114031536099,0.00298099006593937,0.992409639484189
"156","s156",0.00670659099571239,0.0016656165058163,0.00585769129643015,0.985770101202041
"157","s157",0.00461684118108785,0.00110170297917889,0.00377690099034767,0.990504554849386
"158","s158",0.00645380488250637,0.00166373953338245,0.00783627782312747,0.984046177760984
"159","s159",0.00489677447385792,0.00117247089721502,0.00608753456099298,0.987843220067934
"160","s160",0.00436357121319057,0.00108166877154506,0.00557018734934921,0.988984572665915
"161","s161",0.00680054976982669,0.00156992620583058,0.0119568901023322,0.979672633922011
"162","s162",0.00659753779085068,0.00156155137346456,0.0243565808260399,0.967484330009645
"163","s163",0.00478937121230784,0.00126987768525818,0.00980094214993102,0.984139808952503
"164","s164",0.108027404400429,0.015089205652268,0.141863269534028,0.735020120413275
"165","s165",0.00544799016227671,0.001247525815783,0.0149025239204369,0.978401960101503
"166","s166",0.0107479792342304,0.0022300198055379,0.0133458248432947,0.973676176116937
"167","s167",0.00507844064438643,0.00103258340299376,0.0040959991514969,0.989792976801123
"168","s168",0.00502809395499374,0.00106863591643363,0.00398406303978328,0.989919207088789
"169","s169",0.0673527073580072,0.0144267290875364,0.0778597297058564,0.8403608338486
"170","s170",0.00458453411128472,0.00111389625485814,0.00342233377539514,0.990879235858462
"171","s171",0.134391120586676,0.023580584854215,0.157312820402938,0.684715474156172
"172","s172",0.00735900986611506,0.00165866936945959,0.00877681065830505,0.98220551010612
"173","s173",0.0889246092484387,0.0224507580412705,0.0664570927413498,0.822167539968941
"174","s174",0.00443506390609319,0.000928422737756806,0.00282251347262609,0.991813999883524
"175","s175",0.00701855998579191,0.00137088670480674,0.00707731858448327,0.984533234724918
"176","s176",0.102412533640907,0.0159974529027297,0.071306708958093,0.81028330449827
"177","s177",0.0892679540493816,0.0132064640585263,0.0964068538778344,0.801118728014258
"178","s178",0.00738952302903991,0.00150991386668067,0.0105775135196009,0.980523049584679
"179","s179",0.0199305140599898,0.00424143322801908,0.0276612721437235,0.948166780568268
"180","s180",0.00694702758290041,0.00155737192329874,0.00858940181075754,0.982906198683043
